2026-07-21 12:16:42.375 +05:30 [INF] Usage Telemetry: {"id":"a87c0000-ee50-a42a-a5d5-08dee6f31f8a","created":"2026-07-21T12:11:41.3811687\u002B05:30","host":{"framework_version":"10.0.10","mass_transit_version":"8.5.10.0","operating_system_version":"Microsoft Windows NT 10.0.26200.0","time_zone_info":"(UTC\u002B05:30) Chennai, Kolkata, Mumbai, New Delhi","commit_hash":"62ab339afa3bac2e9b3fe1769d0d35d7e44778e9"},"bus":[{"created":"2026-07-21T12:11:41.3828113\u002B05:30","configured":"2026-07-21T12:11:41.5635826\u002B05:30","started":"2026-07-21T12:11:42.3213861\u002B05:30","name":"IBus","endpoints":[{"name":"employee.events.Queue","type":"RabbitMQ","prefetch_count":32,"consumer_count":1,"message_count":1},{"name":"_bus_","type":"RabbitMQ","prefetch_count":32}]}]}
2026-07-21 12:17:18.221 +05:30 [INF] Application is shutting down...
2026-07-21 12:17:18.310 +05:30 [INF] Bus stopped: "rabbitmq://localhost/"
2026-07-21 12:19:23.953 +05:30 [INF] Configured endpoint employee.events.Queue, Consumer: EmployeeApp.Api.Messaging.EmployeeEventConsumer
2026-07-21 12:19:24.188 +05:30 [INF] Now listening on: http://localhost:5070
2026-07-21 12:19:24.191 +05:30 [INF] Application started. Press Ctrl+C to shut down.
2026-07-21 12:19:24.192 +05:30 [INF] Hosting environment: Development
2026-07-21 12:19:24.193 +05:30 [INF] Content root path: C:\aws\EmployeeApp\EmployeeApp.Api
2026-07-21 12:19:24.351 +05:30 [INF] Bus started: "rabbitmq://localhost/"
2026-07-21 12:19:29.891 +05:30 [WRN] Failed to determine the https port for redirect.
2026-07-21 12:19:29.933 +05:30 [INF] HTTP GET / responded 404 in 37.3816 ms
2026-07-21 12:19:38.455 +05:30 [INF] HTTP GET /angular responded 200 in 16.4745 ms
2026-07-21 12:19:38.505 +05:30 [INF] HTTP GET /angular/main-RMMY7VUV.js responded 200 in 35.8961 ms
2026-07-21 12:19:38.505 +05:30 [INF] HTTP GET /angular/styles-JG7EAGFK.css responded 200 in 34.9368 ms
2026-07-21 12:19:38.704 +05:30 [INF] HTTP GET /angular/favicon.ico responded 200 in 1.6332 ms
2026-07-21 12:19:39.030 +05:30 [WRN] You do not have a valid license key for the Lucky Penny software AutoMapper. This is allowed for development and testing scenarios. If you are running in production you are required to have a licensed version. Please visit https://luckypennysoftware.com to obtain a valid license.
2026-07-21 12:19:39.246 +05:30 [INF] HTTP GET /api/employees responded 200 in 552.7427 ms
2026-07-21 12:19:43.476 +05:30 [INF] HTTP GET /blazor responded 200 in 13.1737 ms
2026-07-21 12:19:43.486 +05:30 [INF] HTTP GET /blazor/css/app.css responded 200 in 2.2355 ms
2026-07-21 12:19:43.487 +05:30 [INF] HTTP GET /blazor/EmployeeClient.styles.css responded 200 in 1.7176 ms
2026-07-21 12:19:43.487 +05:30 [INF] HTTP GET /blazor/lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 2.1169 ms
2026-07-21 12:19:43.493 +05:30 [INF] HTTP GET /blazor/_framework/blazor.webassembly.js responded 200 in 5.0592 ms
2026-07-21 12:19:43.588 +05:30 [INF] HTTP GET /blazor/favicon.png responded 200 in 0.9554 ms
2026-07-21 12:19:43.591 +05:30 [INF] HTTP GET /blazor/_framework/dotnet.js responded 200 in 4.8493 ms
2026-07-21 12:19:43.608 +05:30 [INF] HTTP GET /blazor/_framework/dotnet.native.puryxhmhq9.js responded 200 in 4.9843 ms
2026-07-21 12:19:43.609 +05:30 [INF] HTTP GET /blazor/_framework/dotnet.runtime.web2r9gqbh.js responded 200 in 5.8201 ms
2026-07-21 12:19:43.616 +05:30 [INF] HTTP GET /blazor/_framework/System.Runtime.InteropServices.JavaScript.xs6yu76bks.wasm responded 200 in 0.8772 ms
2026-07-21 12:19:43.616 +05:30 [INF] HTTP GET /blazor/_framework/EmployeeApp.Shared.wx04qlwmed.wasm responded 200 in 1.0021 ms
2026-07-21 12:19:43.616 +05:30 [INF] HTTP GET /blazor/_framework/EmployeeClient.vycd0ow3id.wasm responded 200 in 1.0292 ms
2026-07-21 12:19:43.621 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.AspNetCore.Authorization.jaiefy7q3e.wasm responded 200 in 1.1987 ms
2026-07-21 12:19:43.640 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.AspNetCore.Components.Forms.9beleyownf.wasm responded 200 in 1.1280 ms
2026-07-21 12:19:43.640 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.AspNetCore.Components.Authorization.ewu9kgvlj7.wasm responded 200 in 1.2439 ms
2026-07-21 12:19:43.641 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.AspNetCore.Components.23r44w5jxn.wasm responded 200 in 2.6181 ms
2026-07-21 12:19:43.647 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.AspNetCore.Components.Web.ang2z2m53x.wasm responded 200 in 1.6147 ms
2026-07-21 12:19:43.663 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.AspNetCore.Metadata.h5rkjprljp.wasm responded 200 in 0.7274 ms
2026-07-21 12:19:43.663 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.AspNetCore.Components.WebAssembly.hpfrjszxz8.wasm responded 200 in 1.4458 ms
